,LavatoryID,Description,City,Street,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,address,timings,opening_hour,closing_hour,opening_hours
218,Wall_123403,"Wall CT, Waterloo-Ufer",Berlin,Waterloo-Ufer (0-24 Uhr),10961,Deutschland,"13,3930303824613","52,4973898356451",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,Waterloo-Ufer ,0-24,0,24,0:00-24:00
219,Wall_123422,"Wall CT, Steinbergpark, Waidmannsluster Damm",Berlin,"Steinbergpark, Waidmannsluster Damm ggü. 85 (0-24 Uhr)",13469,Deutschland,"13,3059767323998","52,6017976809476",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,"Steinbergpark, Waidmannsluster Damm ggü. 85 ",0-24,0,24,0:00-24:00
220,Wall_123448,"Wall CT, Bhf. Jungfernheide, Lambertstr.",Berlin,"Bhf. Jungfernheide, Lambertstr.   (0-24 Uhr)",10589,Deutschland,"13,3011954497467","52,5302015810798",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,"Bhf. Jungfernheide, Lambertstr.   ",0-24,0,24,0:00-24:00
221,Wall_123451,Toilette Alt-Stralau (Wendenpark) ,Berlin,"Alt-Stralau, Tunnelstr. ggü. 48-48C (0-24 Uhr)",10245,Deutschland,"13,4784884122379","52,4920379163595",Yes,Yes,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,"Alt-Stralau, Tunnelstr. ggü. 48-48C ",0-24,0,24,0:00-24:00
222,Wall_123452,Toilette Eingang Danziger Str./Paul-Heyse-Str.,Berlin,"Volkspark Friedrichshain, Neuer Hain   (0-24 Uhr)",10245,Deutschland,"13,4435442644645","52,52926371287",Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,"Volkspark Friedrichshain, Neuer Hain   ",0-24,0,24,0:00-24:00
223,Wall_123453,Toilette Zugang Wiener Str./Ratiborstr.,Berlin,Görlitzer Park   (0-24 Uhr),10999,Deutschland,"13,4415032415752","52,4952007682188",Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,Görlitzer Park   ,0-24,0,24,0:00-24:00
224,Wall_123484,"Wall CT, Viktoriapark, Kreuzbergstr.",Berlin,"Viktoriapark, Kreuzbergstr. ggü. 31 (0-24 Uhr)",10965,Deutschland,"13,3775997545708","52,4893568193436",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,"Viktoriapark, Kreuzbergstr. ggü. 31 ",0-24,0,24,0:00-24:00
225,Wall_123487,"Wall CT, Schöneberger Str.",Berlin,Schöneberger Str. ggü. 21A-22 (0-24 Uhr),10963,Deutschland,"13,3778775491614","52,5025959448193",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Schöneberger Str. ggü. 21A-22 ,0-24,0,24,0:00-24:00
226,Wall_123490,"Wall CT, Waldeckpark, Alte Jakobstr.",Berlin,"Waldeckpark, Alte Jakobstr. ggü. 110 (0-24 Uhr)",10969,Deutschland,"13,4026252773467","52,5066660776828",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,"Waldeckpark, Alte Jakobstr. ggü. 110 ",0-24,0,24,0:00-24:00
227,Wall_123491,"Wall CT, Görlitzer Park, Zugang",Berlin,"Görlitzer Park, Zugang (0-24 Uhr)",10999,Deutschland,"13,4377054928347","52,4971951837104",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,"Görlitzer Park, Zugang ",0-24,0,24,0:00-24:00
